year,country,country_code,infant_mortality_rate,isRegion
1982,Iran Islamic Rep.,IRN,67.4,
1983,Iran Islamic Rep.,IRN,63.4,
1984,Iran Islamic Rep.,IRN,60,
1985,Iran Islamic Rep.,IRN,56.9,
1986,Iran Islamic Rep.,IRN,54.1,
1987,Iran Islamic Rep.,IRN,51.6,
1988,Iran Islamic Rep.,IRN,49.1,
1989,Iran Islamic Rep.,IRN,46.7,
1990,Iran Islamic Rep.,IRN,44.6,
1991,Iran Islamic Rep.,IRN,42.7,
1992,Iran Islamic Rep.,IRN,40.9,
1993,Iran Islamic Rep.,IRN,39.4,
1994,Iran Islamic Rep.,IRN,38,
1995,Iran Islamic Rep.,IRN,36.6,
1996,Iran Islamic Rep.,IRN,35.3,
1997,Iran Islamic Rep.,IRN,34,
1998,Iran Islamic Rep.,IRN,32.6,
1999,Iran Islamic Rep.,IRN,31.2,
2000,Iran Islamic Rep.,IRN,29.7,
2001,Iran Islamic Rep.,IRN,28.2,
2002,Iran Islamic Rep.,IRN,26.7,
2003,Iran Islamic Rep.,IRN,25.1,
2004,Iran Islamic Rep.,IRN,23.6,
2005,Iran Islamic Rep.,IRN,22.2,
2006,Iran Islamic Rep.,IRN,20.9,
2007,Iran Islamic Rep.,IRN,19.7,
2008,Iran Islamic Rep.,IRN,18.5,
2009,Iran Islamic Rep.,IRN,17.4,
2010,Iran Islamic Rep.,IRN,16.5,
2011,Iran Islamic Rep.,IRN,15.7,
2012,Iran Islamic Rep.,IRN,15,
2013,Iran Islamic Rep.,IRN,14.4,
2014,Iran Islamic Rep.,IRN,13.8,
2015,Iran Islamic Rep.,IRN,13.3,
2016,Iran Islamic Rep.,IRN,12.8,
2017,Iran Islamic Rep.,IRN,12.4,
2018,Iran Islamic Rep.,IRN,11.9,
2019,Iran Islamic Rep.,IRN,11.5,
2020,Iran Islamic Rep.,IRN,11.1,
1960,Thailand,THA,101.4,
1961,Thailand,THA,98.3,
1962,Thailand,THA,95.1,
1963,Thailand,THA,92,
1964,Thailand,THA,89,
1965,Thailand,THA,86,
1966,Thailand,THA,83.1,
1967,Thailand,THA,80.1,
1968,Thailand,THA,77.1,
1969,Thailand,THA,74.2,
1970,Thailand,THA,71.2,
1971,Thailand,THA,68.3,
1972,Thailand,THA,65.5,
1973,Thailand,THA,62.7,
1974,Thailand,THA,60.1,
1975,Thailand,THA,57.6,
1976,Thailand,THA,55.2,
1977,Thailand,THA,53,
1978,Thailand,THA,50.9,
1979,Thailand,THA,48.9,
1980,Thailand,THA,46.9,
1981,Thailand,THA,45,
1982,Thailand,THA,43.2,
1983,Thailand,THA,41.5,
1984,Thailand,THA,39.8,
1985,Thailand,THA,38.1,
1986,Thailand,THA,36.5,
1987,Thailand,THA,34.9,
1988,Thailand,THA,33.4,
1989,Thailand,THA,31.8,
1990,Thailand,THA,30.3,
1991,Thailand,THA,28.9,
1992,Thailand,THA,27.5,
1993,Thailand,THA,26.2,
1994,Thailand,THA,25,
1995,Thailand,THA,23.8,
1996,Thailand,THA,22.7,
1997,Thailand,THA,21.6,
1998,Thailand,THA,20.6,
1999,Thailand,THA,19.6,
2000,Thailand,THA,18.7,
2001,Thailand,THA,17.8,
2002,Thailand,THA,17,
2003,Thailand,THA,16.2,
2004,Thailand,THA,15.5,
2005,Thailand,THA,14.8,
2006,Thailand,THA,14.1,
2007,Thailand,THA,13.4,
2008,Thailand,THA,12.8,
2009,Thailand,THA,12.2,
2010,Thailand,THA,11.7,
2011,Thailand,THA,11.2,
2012,Thailand,THA,10.6,
2013,Thailand,THA,10.2,
2014,Thailand,THA,9.7,
2015,Thailand,THA,9.3,
2016,Thailand,THA,8.9,
2017,Thailand,THA,8.5,
2018,Thailand,THA,8.1,
2019,Thailand,THA,7.7,
2020,Thailand,THA,7.4,
1972,Tajikistan,TJK,118.5,
1973,Tajikistan,TJK,114.7,
1974,Tajikistan,TJK,111.2,
1975,Tajikistan,TJK,107.9,
1976,Tajikistan,TJK,105.2,
1977,Tajikistan,TJK,103,
1978,Tajikistan,TJK,101.6,
1979,Tajikistan,TJK,100.6,
1980,Tajikistan,TJK,100,
1981,Tajikistan,TJK,99.6,
1982,Tajikistan,TJK,99,
1983,Tajikistan,TJK,97.6,
1984,Tajikistan,TJK,95.3,
1985,Tajikistan,TJK,92.5,
1986,Tajikistan,TJK,88.9,
1987,Tajikistan,TJK,85.3,
1988,Tajikistan,TJK,82.4,
1989,Tajikistan,TJK,80.8,
1990,Tajikistan,TJK,80.8,
1991,Tajikistan,TJK,82.8,
1992,Tajikistan,TJK,86,
1993,Tajikistan,TJK,88.4,
1994,Tajikistan,TJK,88.7,
1995,Tajikistan,TJK,87.3,
1996,Tajikistan,TJK,84.5,
1997,Tajikistan,TJK,80.9,
1998,Tajikistan,TJK,76.7,
1999,Tajikistan,TJK,72.2,
2000,Tajikistan,TJK,67.6,
2001,Tajikistan,TJK,62.9,
2002,Tajikistan,TJK,58.4,
2003,Tajikistan,TJK,54.2,
2004,Tajikistan,TJK,50.4,
2005,Tajikistan,TJK,47,
2006,Tajikistan,TJK,44.1,
2007,Tajikistan,TJK,41.7,
2008,Tajikistan,TJK,39.7,
2009,Tajikistan,TJK,38.1,
2010,Tajikistan,TJK,36.9,
2011,Tajikistan,TJK,35.8,
2012,Tajikistan,TJK,35,
2013,Tajikistan,TJK,34.2,
2014,Tajikistan,TJK,33.4,
2015,Tajikistan,TJK,32.6,
2016,Tajikistan,TJK,31.8,
2017,Tajikistan,TJK,30.9,
2018,Tajikistan,TJK,30.1,
2019,Tajikistan,TJK,29.2,
2020,Tajikistan,TJK,28.4,
1963,Tonga,TON,58,
1964,Tonga,TON,54.9,
1965,Tonga,TON,52,
1966,Tonga,TON,49.1,
1967,Tonga,TON,46.3,
1968,Tonga,TON,43.7,
1969,Tonga,TON,41.1,
1970,Tonga,TON,38.7,
1971,Tonga,TON,36.6,
1972,Tonga,TON,34.7,
1973,Tonga,TON,33,
1974,Tonga,TON,31.4,
1975,Tonga,TON,30,
1976,Tonga,TON,28.8,
1977,Tonga,TON,27.6,
1978,Tonga,TON,26.5,
1979,Tonga,TON,25.4,
1980,Tonga,TON,24.6,
1981,Tonga,TON,23.8,
1982,Tonga,TON,23.1,
1983,Tonga,TON,22.5,
1984,Tonga,TON,22.1,
1985,Tonga,TON,21.6,
1986,Tonga,TON,21.1,
1987,Tonga,TON,20.6,
1988,Tonga,TON,20.1,
1989,Tonga,TON,19.5,
1990,Tonga,TON,18.8,
1991,Tonga,TON,18.2,
1992,Tonga,TON,17.6,
1993,Tonga,TON,17,
1994,Tonga,TON,16.5,
1995,Tonga,TON,16.1,
1996,Tonga,TON,15.8,
1997,Tonga,TON,15.5,
1998,Tonga,TON,15.2,
1999,Tonga,TON,14.9,
2000,Tonga,TON,14.5,
2001,Tonga,TON,14.2,
2002,Tonga,TON,13.8,
2003,Tonga,TON,13.4,
2004,Tonga,TON,13,
2005,Tonga,TON,12.7,
2006,Tonga,TON,12.3,
2007,Tonga,TON,12,
2008,Tonga,TON,11.8,
2009,Tonga,TON,11.5,
2010,Tonga,TON,11.3,
2011,Tonga,TON,11.1,
2012,Tonga,TON,11,
2013,Tonga,TON,10.9,
2014,Tonga,TON,10.8,
2015,Tonga,TON,10.7,
2016,Tonga,TON,10.6,
2017,Tonga,TON,10.4,
2018,Tonga,TON,10.3,
2019,Tonga,TON,10,
2020,Tonga,TON,9.8,
1971,Cyprus,CYP,35.1,
1972,Cyprus,CYP,32.7,
1973,Cyprus,CYP,30.4,
1974,Cyprus,CYP,28,
1975,Cyprus,CYP,25.4,
1976,Cyprus,CYP,22.9,
1977,Cyprus,CYP,20.5,
1978,Cyprus,CYP,18.6,
1979,Cyprus,CYP,17.5,
1980,Cyprus,CYP,17,
1981,Cyprus,CYP,16.7,
1982,Cyprus,CYP,16,
1983,Cyprus,CYP,14.8,
1984,Cyprus,CYP,13.4,
1985,Cyprus,CYP,11.9,
1986,Cyprus,CYP,10.8,
1987,Cyprus,CYP,10.2,
1988,Cyprus,CYP,10,
1989,Cyprus,CYP,10,
1990,Cyprus,CYP,10,
1991,Cyprus,CYP,9.9,
1992,Cyprus,CYP,9.6,
1993,Cyprus,CYP,9,
1994,Cyprus,CYP,8.5,
1995,Cyprus,CYP,8,
1996,Cyprus,CYP,7.5,
1997,Cyprus,CYP,7,
1998,Cyprus,CYP,6.5,
1999,Cyprus,CYP,6,
2000,Cyprus,CYP,5.6,
2001,Cyprus,CYP,5.2,
2002,Cyprus,CYP,4.8,
2003,Cyprus,CYP,4.5,
2004,Cyprus,CYP,4.1,
2005,Cyprus,CYP,3.8,
2006,Cyprus,CYP,3.6,
2007,Cyprus,CYP,3.3,
2008,Cyprus,CYP,3.1,
2009,Cyprus,CYP,3,
2010,Cyprus,CYP,2.8,
2011,Cyprus,CYP,2.7,
2012,Cyprus,CYP,2.6,
2013,Cyprus,CYP,2.5,
2014,Cyprus,CYP,2.4,
2015,Cyprus,CYP,2.4,
2016,Cyprus,CYP,2.4,
2017,Cyprus,CYP,2.3,
2018,Cyprus,CYP,2.3,
2019,Cyprus,CYP,2.3,
2020,Cyprus,CYP,2.3,
1960,Turkey,TUR,171.4,
1961,Turkey,TUR,166.3,
1962,Turkey,TUR,161,
1963,Turkey,TUR,155.7,
1964,Turkey,TUR,150.6,
1965,Turkey,TUR,145.9,
1966,Turkey,TUR,141.5,
1967,Turkey,TUR,137.5,
1968,Turkey,TUR,133.7,
1969,Turkey,TUR,130,
1970,Turkey,TUR,126.4,
1971,Turkey,TUR,122.8,
1972,Turkey,TUR,119.3,
1973,Turkey,TUR,115.8,
1974,Turkey,TUR,112.2,
1975,Turkey,TUR,108.5,
1976,Turkey,TUR,104.9,
1977,Turkey,TUR,101.1,
1978,Turkey,TUR,97.3,
1979,Turkey,TUR,93.5,
1980,Turkey,TUR,89.7,
1981,Turkey,TUR,85.8,
1982,Turkey,TUR,82,
1983,Turkey,TUR,78.2,
1984,Turkey,TUR,74.6,
1985,Turkey,TUR,71.1,
1986,Turkey,TUR,67.7,
1987,Turkey,TUR,64.5,
1988,Turkey,TUR,61.3,
1989,Turkey,TUR,58.4,
1990,Turkey,TUR,55.5,
1991,Turkey,TUR,52.8,
1992,Turkey,TUR,50,
1993,Turkey,TUR,47.3,
1994,Turkey,TUR,44.7,
1995,Turkey,TUR,42.2,
1996,Turkey,TUR,39.8,
1997,Turkey,TUR,37.4,
1998,Turkey,TUR,35.2,
1999,Turkey,TUR,33,
2000,Turkey,TUR,30.9,
2001,Turkey,TUR,29,
2002,Turkey,TUR,27.1,
2003,Turkey,TUR,25.3,
2004,Turkey,TUR,23.6,
2005,Turkey,TUR,22,
2006,Turkey,TUR,20.5,
2007,Turkey,TUR,19.2,
2008,Turkey,TUR,17.9,
2009,Turkey,TUR,16.6,
2010,Turkey,TUR,15.5,
2011,Turkey,TUR,14.5,
2012,Turkey,TUR,13.6,
2013,Turkey,TUR,12.7,
2014,Turkey,TUR,11.9,
2015,Turkey,TUR,11.1,
2016,Turkey,TUR,10.5,
2017,Turkey,TUR,9.8,
2018,Turkey,TUR,9.2,
2019,Turkey,TUR,8.6,
2020,Turkey,TUR,8.1,
1960,Tuvalu,TUV,115.5,
1961,Tuvalu,TUV,110.7,
1962,Tuvalu,TUV,106.2,
1963,Tuvalu,TUV,101.9,
1964,Tuvalu,TUV,97.8,
1965,Tuvalu,TUV,93.7,
1966,Tuvalu,TUV,89.8,
1967,Tuvalu,TUV,86.2,
1968,Tuvalu,TUV,82.7,
1969,Tuvalu,TUV,79.2,
1970,Tuvalu,TUV,75.8,
1971,Tuvalu,TUV,72.4,
1972,Tuvalu,TUV,69,
1973,Tuvalu,TUV,65.7,
1974,Tuvalu,TUV,62.4,
1975,Tuvalu,TUV,59.3,
1976,Tuvalu,TUV,56.6,
1977,Tuvalu,TUV,54.1,
1978,Tuvalu,TUV,52,
1979,Tuvalu,TUV,50.1,
1980,Tuvalu,TUV,48.4,
1981,Tuvalu,TUV,47,
1982,Tuvalu,TUV,45.7,
1983,Tuvalu,TUV,44.7,
1984,Tuvalu,TUV,43.8,
1985,Tuvalu,TUV,43.1,
1986,Tuvalu,TUV,42.7,
1987,Tuvalu,TUV,42.3,
1988,Tuvalu,TUV,42,
1989,Tuvalu,TUV,41.7,
1990,Tuvalu,TUV,41.4,
1991,Tuvalu,TUV,41,
1992,Tuvalu,TUV,40.5,
1993,Tuvalu,TUV,40,
1994,Tuvalu,TUV,39.3,
1995,Tuvalu,TUV,38.5,
1996,Tuvalu,TUV,37.6,
1997,Tuvalu,TUV,36.7,
1998,Tuvalu,TUV,35.7,
1999,Tuvalu,TUV,34.8,
2000,Tuvalu,TUV,33.9,
2001,Tuvalu,TUV,33.3,
2002,Tuvalu,TUV,32.7,
2003,Tuvalu,TUV,32.1,
2004,Tuvalu,TUV,31.5,
2005,Tuvalu,TUV,30.8,
2006,Tuvalu,TUV,30,
2007,Tuvalu,TUV,29,
2008,Tuvalu,TUV,28,
2009,Tuvalu,TUV,27,
2010,Tuvalu,TUV,26,
2011,Tuvalu,TUV,25.1,
2012,Tuvalu,TUV,24.2,
2013,Tuvalu,TUV,23.4,
2014,Tuvalu,TUV,22.6,
2015,Tuvalu,TUV,21.9,
2016,Tuvalu,TUV,21.2,
2017,Tuvalu,TUV,20.6,
2018,Tuvalu,TUV,20,
2019,Tuvalu,TUV,19.3,
2020,Tuvalu,TUV,18.7,
1960,Trinidad and Tobago,TTO,56,
1961,Trinidad and Tobago,TTO,54.3,
1962,Trinidad and Tobago,TTO,52.7,
1963,Trinidad and Tobago,TTO,51.2,
1964,Trinidad and Tobago,TTO,49.8,
1965,Trinidad and Tobago,TTO,48.6,
1966,Trinidad and Tobago,TTO,47.5,
1967,Trinidad and Tobago,TTO,46.5,
1968,Trinidad and Tobago,TTO,45.6,
1969,Trinidad and Tobago,TTO,44.8,
1970,Trinidad and Tobago,TTO,44,
1971,Trinidad and Tobago,TTO,43.2,
1972,Trinidad and Tobago,TTO,42.3,
1973,Trinidad and Tobago,TTO,41.4,
1974,Trinidad and Tobago,TTO,40.5,
1975,Trinidad and Tobago,TTO,39.5,
1976,Trinidad and Tobago,TTO,38.4,
1977,Trinidad and Tobago,TTO,37.4,
1978,Trinidad and Tobago,TTO,36.3,
1979,Trinidad and Tobago,TTO,35.2,
1980,Trinidad and Tobago,TTO,34.2,
1981,Trinidad and Tobago,TTO,33.1,
1982,Trinidad and Tobago,TTO,32.2,
1983,Trinidad and Tobago,TTO,31.3,
1984,Trinidad and Tobago,TTO,30.4,
1985,Trinidad and Tobago,TTO,29.6,
1986,Trinidad and Tobago,TTO,28.9,
1987,Trinidad and Tobago,TTO,28.3,
1988,Trinidad and Tobago,TTO,27.7,
1989,Trinidad and Tobago,TTO,27.2,
1990,Trinidad and Tobago,TTO,26.7,
1991,Trinidad and Tobago,TTO,26.2,
1992,Trinidad and Tobago,TTO,25.9,
1993,Trinidad and Tobago,TTO,25.6,
1994,Trinidad and Tobago,TTO,25.3,
1995,Trinidad and Tobago,TTO,25.2,
1996,Trinidad and Tobago,TTO,25,
1997,Trinidad and Tobago,TTO,24.9,
1998,Trinidad and Tobago,TTO,24.8,
1999,Trinidad and Tobago,TTO,24.7,
2000,Trinidad and Tobago,TTO,24.7,
2001,Trinidad and Tobago,TTO,24.5,
2002,Trinidad and Tobago,TTO,24.3,
2003,Trinidad and Tobago,TTO,23.9,
2004,Trinidad and Tobago,TTO,23.5,
2005,Trinidad and Tobago,TTO,23,
2006,Trinidad and Tobago,TTO,22.4,
2007,Trinidad and Tobago,TTO,21.7,
2008,Trinidad and Tobago,TTO,21.2,
2009,Trinidad and Tobago,TTO,20.7,
2010,Trinidad and Tobago,TTO,20.1,
2011,Trinidad and Tobago,TTO,19.5,
2012,Trinidad and Tobago,TTO,18.9,
2013,Trinidad and Tobago,TTO,18.4,
2014,Trinidad and Tobago,TTO,17.8,
2015,Trinidad and Tobago,TTO,17.3,
2016,Trinidad and Tobago,TTO,16.8,
2017,Trinidad and Tobago,TTO,16.3,
2018,Trinidad and Tobago,TTO,15.8,
2019,Trinidad and Tobago,TTO,15.4,
2020,Trinidad and Tobago,TTO,14.8,
1981,Czech Republic,CZE,13.4,
1982,Czech Republic,CZE,13,
1983,Czech Republic,CZE,12.7,
1984,Czech Republic,CZE,12.4,
1985,Czech Republic,CZE,12.2,
1986,Czech Republic,CZE,12,
1987,Czech Republic,CZE,11.6,
1988,Czech Republic,CZE,11.1,
1989,Czech Republic,CZE,10.7,
1990,Czech Republic,CZE,10.3,
1991,Czech Republic,CZE,9.9,
1992,Czech Republic,CZE,9.4,
1993,Czech Republic,CZE,8.6,
1994,Czech Republic,CZE,7.9,
1995,Czech Republic,CZE,7.1,
1996,Czech Republic,CZE,6.4,
1997,Czech Republic,CZE,5.8,
1998,Czech Republic,CZE,5.2,
1999,Czech Republic,CZE,4.8,
2000,Czech Republic,CZE,4.5,
2001,Czech Republic,CZE,4.3,
2002,Czech Republic,CZE,4.1,
2003,Czech Republic,CZE,3.9,
2004,Czech Republic,CZE,3.7,
2005,Czech Republic,CZE,3.6,
2006,Czech Republic,CZE,3.4,
2007,Czech Republic,CZE,3.2,
2008,Czech Republic,CZE,3,
2009,Czech Republic,CZE,2.9,
2010,Czech Republic,CZE,2.7,
2011,Czech Republic,CZE,2.6,
2012,Czech Republic,CZE,2.6,
2013,Czech Republic,CZE,2.5,
2014,Czech Republic,CZE,2.5,
2015,Czech Republic,CZE,2.5,
2016,Czech Republic,CZE,2.6,
2017,Czech Republic,CZE,2.6,
2018,Czech Republic,CZE,2.5,
2019,Czech Republic,CZE,2.4,
2020,Czech Republic,CZE,2.3,
1977,Turkmenistan,TKM,102.5,
1978,Turkmenistan,TKM,99.1,
1979,Turkmenistan,TKM,95.9,
1980,Turkmenistan,TKM,92.7,
1981,Turkmenistan,TKM,89.3,
1982,Turkmenistan,TKM,86,
1983,Turkmenistan,TKM,82.7,
1984,Turkmenistan,TKM,79.4,
1985,Turkmenistan,TKM,76.2,
1986,Turkmenistan,TKM,73.1,
1987,Turkmenistan,TKM,70.3,
1988,Turkmenistan,TKM,67.9,
1989,Turkmenistan,TKM,66,
1990,Turkmenistan,TKM,64.6,
1991,Turkmenistan,TKM,64,
1992,Turkmenistan,TKM,64,
1993,Turkmenistan,TKM,64.2,
1994,Turkmenistan,TKM,64.5,
1995,Turkmenistan,TKM,64.6,
1996,Turkmenistan,TKM,64.3,
1997,Turkmenistan,TKM,63.5,
1998,Turkmenistan,TKM,62,
1999,Turkmenistan,TKM,59.9,
2000,Turkmenistan,TKM,57.5,
2001,Turkmenistan,TKM,54.7,
2002,Turkmenistan,TKM,51.9,
2003,Turkmenistan,TKM,49.2,
2004,Turkmenistan,TKM,46.7,
2005,Turkmenistan,TKM,44.4,
2006,Turkmenistan,TKM,42.3,
2007,Turkmenistan,TKM,40.6,
2008,Turkmenistan,TKM,39.1,
2009,Turkmenistan,TKM,38,
2010,Turkmenistan,TKM,37.2,
2011,Turkmenistan,TKM,36.7,
2012,Turkmenistan,TKM,36.3,
2013,Turkmenistan,TKM,36.3,
2014,Turkmenistan,TKM,36.3,
2015,Turkmenistan,TKM,36.4,
2016,Turkmenistan,TKM,36.7,
2017,Turkmenistan,TKM,37,
2018,Turkmenistan,TKM,37,
2019,Turkmenistan,TKM,36.6,
2020,Turkmenistan,TKM,36.1,
1962,Tunisia,TUN,181.5,
1963,Tunisia,TUN,173.1,
1964,Tunisia,TUN,164.9,
1965,Tunisia,TUN,157.1,
1966,Tunisia,TUN,149.3,
1967,Tunisia,TUN,142,
1968,Tunisia,TUN,135,
1969,Tunisia,TUN,128.2,
1970,Tunisia,TUN,121.9,
1971,Tunisia,TUN,115.9,
1972,Tunisia,TUN,110.3,
1973,Tunisia,TUN,104.7,
1974,Tunisia,TUN,99.1,
1975,Tunisia,TUN,93.5,
1976,Tunisia,TUN,88,
1977,Tunisia,TUN,82.6,
1978,Tunisia,TUN,77.6,
1979,Tunisia,TUN,73.1,
1980,Tunisia,TUN,69,
1981,Tunisia,TUN,65.4,
1982,Tunisia,TUN,62,
1983,Tunisia,TUN,59,
1984,Tunisia,TUN,56.1,
1985,Tunisia,TUN,53.4,
1986,Tunisia,TUN,51,
1987,Tunisia,TUN,48.7,
1988,Tunisia,TUN,46.7,
1989,Tunisia,TUN,44.8,
1990,Tunisia,TUN,43.1,
1991,Tunisia,TUN,41.5,
1992,Tunisia,TUN,39.9,
1993,Tunisia,TUN,38.2,
1994,Tunisia,TUN,36.3,
1995,Tunisia,TUN,34.4,
1996,Tunisia,TUN,32.5,
1997,Tunisia,TUN,30.5,
1998,Tunisia,TUN,28.5,
1999,Tunisia,TUN,26.6,
2000,Tunisia,TUN,25,
2001,Tunisia,TUN,23.4,
2002,Tunisia,TUN,22,
2003,Tunisia,TUN,20.8,
2004,Tunisia,TUN,19.7,
2005,Tunisia,TUN,18.8,
2006,Tunisia,TUN,17.9,
2007,Tunisia,TUN,17.2,
2008,Tunisia,TUN,16.6,
2009,Tunisia,TUN,16.2,
2010,Tunisia,TUN,15.8,
2011,Tunisia,TUN,15.5,
2012,Tunisia,TUN,15.2,
2013,Tunisia,TUN,15,
2014,Tunisia,TUN,14.9,
2015,Tunisia,TUN,14.8,
2016,Tunisia,TUN,14.7,
2017,Tunisia,TUN,14.7,
2018,Tunisia,TUN,14.6,
2019,Tunisia,TUN,14.5,
2020,Tunisia,TUN,14.3,
1960,Uganda,UGA,131.7,
1961,Uganda,UGA,129.6,
1962,Uganda,UGA,127.7,
1963,Uganda,UGA,125.7,
1964,Uganda,UGA,123.9,
1965,Uganda,UGA,122,
1966,Uganda,UGA,120.3,
1967,Uganda,UGA,118.4,
1968,Uganda,UGA,116.8,
1969,Uganda,UGA,115.5,
1970,Uganda,UGA,114.8,
1971,Uganda,UGA,114.6,
1972,Uganda,UGA,115,
1973,Uganda,UGA,116.1,
1974,Uganda,UGA,117.8,
1975,Uganda,UGA,120.1,
1976,Uganda,UGA,122.6,
1977,Uganda,UGA,125.2,
1978,Uganda,UGA,127.4,
1979,Uganda,UGA,128.9,
1980,Uganda,UGA,130.1,
1981,Uganda,UGA,129.3,
1982,Uganda,UGA,126.8,
1983,Uganda,UGA,123.5,
1984,Uganda,UGA,120.1,
1985,Uganda,UGA,117.4,
1986,Uganda,UGA,115,
1987,Uganda,UGA,113,
1988,Uganda,UGA,111.2,
1989,Uganda,UGA,109.4,
1990,Uganda,UGA,107.1,
1991,Uganda,UGA,104.8,
1992,Uganda,UGA,102.3,
1993,Uganda,UGA,100.2,
1994,Uganda,UGA,98.5,
1995,Uganda,UGA,97.3,
1996,Uganda,UGA,96.2,
1997,Uganda,UGA,94.8,
1998,Uganda,UGA,92.9,
1999,Uganda,UGA,90.3,
2000,Uganda,UGA,87.1,
2001,Uganda,UGA,83.4,
2002,Uganda,UGA,79.2,
2003,Uganda,UGA,74.7,
2004,Uganda,UGA,70,
2005,Uganda,UGA,65.6,
2006,Uganda,UGA,61.6,
2007,Uganda,UGA,57.9,
2008,Uganda,UGA,54.5,
2009,Uganda,UGA,52.1,
2010,Uganda,UGA,49.5,
2011,Uganda,UGA,47,
2012,Uganda,UGA,44.3,
2013,Uganda,UGA,42.4,
2014,Uganda,UGA,40.6,
2015,Uganda,UGA,38.9,
2016,Uganda,UGA,37.3,
2017,Uganda,UGA,35.7,
2018,Uganda,UGA,34.1,
2019,Uganda,UGA,33,
2020,Uganda,UGA,31.9,
1960,Uruguay,URY,56.6,
1961,Uruguay,URY,55.4,
1962,Uruguay,URY,54.1,
1963,Uruguay,URY,52.9,
1964,Uruguay,URY,51.9,
1965,Uruguay,URY,51.4,
1966,Uruguay,URY,51,
1967,Uruguay,URY,50.6,
1968,Uruguay,URY,50,
1969,Uruguay,URY,49,
1970,Uruguay,URY,47.9,
1971,Uruguay,URY,47.2,
1972,Uruguay,URY,47.2,
1973,Uruguay,URY,47.9,
1974,Uruguay,URY,48.7,
1975,Uruguay,URY,48.9,
1976,Uruguay,URY,48.2,
1977,Uruguay,URY,46.1,
1978,Uruguay,URY,42.9,
1979,Uruguay,URY,39,
1980,Uruguay,URY,35,
1981,Uruguay,URY,31.6,
1982,Uruguay,URY,29,
1983,Uruguay,URY,27.3,
1984,Uruguay,URY,26,
1985,Uruguay,URY,25.1,
1986,Uruguay,URY,24.2,
1987,Uruguay,URY,23.1,
1988,Uruguay,URY,22,
1989,Uruguay,URY,20.9,
1990,Uruguay,URY,20.1,
1991,Uruguay,URY,19.5,
1992,Uruguay,URY,19,
1993,Uruguay,URY,18.7,
1994,Uruguay,URY,18.4,
1995,Uruguay,URY,17.9,
1996,Uruguay,URY,17.4,
1997,Uruguay,URY,16.7,
1998,Uruguay,URY,16,
1999,Uruguay,URY,15.3,
2000,Uruguay,URY,14.8,
2001,Uruguay,URY,14.4,
2002,Uruguay,URY,14.1,
2003,Uruguay,URY,13.7,
2004,Uruguay,URY,13.2,
2005,Uruguay,URY,12.5,
2006,Uruguay,URY,11.7,
2007,Uruguay,URY,11,
2008,Uruguay,URY,10.3,
2009,Uruguay,URY,9.7,
2010,Uruguay,URY,9.3,
2011,Uruguay,URY,8.9,
2012,Uruguay,URY,8.6,
2013,Uruguay,URY,8.3,
2014,Uruguay,URY,8,
2015,Uruguay,URY,7.6,
2016,Uruguay,URY,7.2,
2017,Uruguay,URY,6.8,
2018,Uruguay,URY,6.3,
2019,Uruguay,URY,5.8,
2020,Uruguay,URY,5.3,
1960,United Kingdom,GBR,22.9,
1961,United Kingdom,GBR,22.5,
1962,United Kingdom,GBR,22,
1963,United Kingdom,GBR,21.4,
1964,United Kingdom,GBR,20.8,
1965,United Kingdom,GBR,20.1,
1966,United Kingdom,GBR,19.6,
1967,United Kingdom,GBR,19.1,
1968,United Kingdom,GBR,18.7,
1969,United Kingdom,GBR,18.4,
1970,United Kingdom,GBR,18,
1971,United Kingdom,GBR,17.6,
1972,United Kingdom,GBR,17.2,
1973,United Kingdom,GBR,16.6,
1974,United Kingdom,GBR,16,
1975,United Kingdom,GBR,15.4,
1976,United Kingdom,GBR,14.7,
1977,United Kingdom,GBR,14.1,
1978,United Kingdom,GBR,13.4,
1979,United Kingdom,GBR,12.7,
1980,United Kingdom,GBR,12.1,
1981,United Kingdom,GBR,11.4,
1982,United Kingdom,GBR,10.8,
1983,United Kingdom,GBR,10.4,
1984,United Kingdom,GBR,10,
1985,United Kingdom,GBR,9.7,
1986,United Kingdom,GBR,9.4,
1987,United Kingdom,GBR,9.2,
1988,United Kingdom,GBR,8.8,
1989,United Kingdom,GBR,8.4,
1990,United Kingdom,GBR,7.9,
1991,United Kingdom,GBR,7.4,
1992,United Kingdom,GBR,6.9,
1993,United Kingdom,GBR,6.6,
1994,United Kingdom,GBR,6.3,
1995,United Kingdom,GBR,6.1,
1996,United Kingdom,GBR,6,
1997,United Kingdom,GBR,5.9,
1998,United Kingdom,GBR,5.8,
1999,United Kingdom,GBR,5.7,
2000,United Kingdom,GBR,5.6,
2001,United Kingdom,GBR,5.5,
2002,United Kingdom,GBR,5.4,
2003,United Kingdom,GBR,5.3,
2004,United Kingdom,GBR,5.2,
2005,United Kingdom,GBR,5.1,
2006,United Kingdom,GBR,5,
2007,United Kingdom,GBR,4.9,
2008,United Kingdom,GBR,4.8,
2009,United Kingdom,GBR,4.6,
2010,United Kingdom,GBR,4.4,
2011,United Kingdom,GBR,4.3,
2012,United Kingdom,GBR,4.1,
2013,United Kingdom,GBR,4,
2014,United Kingdom,GBR,3.9,
2015,United Kingdom,GBR,3.8,
2016,United Kingdom,GBR,3.8,
2017,United Kingdom,GBR,3.8,
2018,United Kingdom,GBR,3.7,
2019,United Kingdom,GBR,3.7,
